hash,class_changed,method_changed,statement_changed,total_revision
"Diff(project=jinahya/bit-io, old_sha=8cdf85b6d9686f90261ec757ed6801be31fccc42, new_sha=9a249e0753aac0b4bed4d0f9abc85833687f1dea, old_path=src/main/java/com/github/jinahya/bit/io/AbstractBitInput.java, new_path=src/main/java/com/github/jinahya/bit/io/AbstractBitInput.java, old_lines=[79], new_lines=[79], category=ONE_TO_ONE)",4,1,0,22
"Diff(project=jinahya/bit-io, old_sha=8cdf85b6d9686f90261ec757ed6801be31fccc42, new_sha=9a249e0753aac0b4bed4d0f9abc85833687f1dea, old_path=src/main/java/com/github/jinahya/bit/io/AbstractBitOutput.java, new_path=src/main/java/com/github/jinahya/bit/io/AbstractBitOutput.java, old_lines=[78], new_lines=[78], category=ONE_TO_ONE)",3,1,1,19
"Diff(project=trustyuri/trustyuri-java, old_sha=c06facd873a7da51905aef69d1e536181d347b6e, new_sha=2d5e5b25d145ecf53cd4f4bdf8b04bf8ebbfbce1, old_path=src/main/java/net/trustyuri/rdf/SerStatementComparator.java, new_path=src/main/java/net/trustyuri/rdf/SerStatementComparator.java, old_lines=[46], new_lines=[52], category=ONE_TO_ONE)",1,0,0,28
"Diff(project=hyperledger/fabric-sdk-java, old_sha=69812415ba6ceeb09e39c08443bec2f284d997a1, new_sha=c788a00ed99f88125496fd3c4ac3aedd1d5f0e34, old_path=src/main/java/org/hyperledger/fabric/sdk/helper/SDKUtil.java, new_path=src/main/java/org/hyperledger/fabric/sdk/helper/SDKUtil.java, old_lines=[343], new_lines=[341], category=ONE_TO_ONE)",5,1,1,228
"Diff(project=hyperledger/fabric-sdk-java, old_sha=8f1fe23df323ff4baddfee584880a98f8b33eaad, new_sha=13337b64716141995e49f3f0b81e6356fc05a06a, old_path=src/main/java/org/hyperledger/fabric/sdk/security/CryptoPrimitives.java, new_path=src/main/java/org/hyperledger/fabric/sdk/security/CryptoPrimitives.java, old_lines=[529], new_lines=[511], category=ONE_TO_ONE)",15,1,1,73
"Diff(project=vdurmont/emoji-java, old_sha=49a42a5f959e8b072f0be251d9d1ab242d585b62, new_sha=9c7a967f9ace4e056e31e2879e67e1f562aa3747, old_path=src/main/java/com/vdurmont/emoji/EmojiParser.java, new_path=src/main/java/com/vdurmont/emoji/EmojiParser.java, old_lines=[134], new_lines=[134], category=ONE_TO_ONE)",6,2,1,14
"Diff(project=zmarko/sss, old_sha=6e603c1f555db4d81dc1e869be48ce60a16bcfc8, new_sha=db9390d11c0ad6f2f05b29d8ddd1abd78bc5114a, old_path=src/main/java/rs/in/zivanovic/sss/SasUtils.java, new_path=src/main/java/rs/in/zivanovic/sss/SasUtils.java, old_lines=[52], new_lines=[52], category=ONE_TO_ONE)",0,0,0,1
"Diff(project=classgraph/classgraph, old_sha=29b7dbae1e6e8d4bcc10a5b2adbee9b5a0d1ff2c, new_sha=1816ba7e8dcabfde1801a65051d4cd29b4d359a6, old_path=src/main/java/io/github/lukehutch/fastclasspathscanner/classfileparser/ClassfileBinaryParser.java, new_path=src/main/java/io/github/lukehutch/fastclasspathscanner/classfileparser/ClassfileBinaryParser.java, old_lines=[174], new_lines=[183], category=ONE_TO_ONE)",22,3,3,2350
"Diff(project=classgraph/classgraph, old_sha=6cccf4d2a202154f23a51d81c34bc34f1f2c8c4d, new_sha=a058a4897ee317d227fc9a3c8a51e7cfc1c4900e, old_path=src/main/java/io/github/lukehutch/fastclasspathscanner/classloaderhandler/EquinoxClassLoaderHandler.java, new_path=src/main/java/io/github/lukehutch/fastclasspathscanner/classloaderhandler/EquinoxClassLoaderHandler.java, old_lines=[66], new_lines=[64], category=ONE_TO_ONE)",0,0,0,8
"Diff(project=classgraph/classgraph, old_sha=6cccf4d2a202154f23a51d81c34bc34f1f2c8c4d, new_sha=a058a4897ee317d227fc9a3c8a51e7cfc1c4900e, old_path=src/main/java/io/github/lukehutch/fastclasspathscanner/classloaderhandler/EquinoxClassLoaderHandler.java, new_path=src/main/java/io/github/lukehutch/fastclasspathscanner/classloaderhandler/EquinoxClassLoaderHandler.java, old_lines=[68], new_lines=[66], category=ONE_TO_ONE)",0,0,0,8
